title,info,price,address,description,images,room_type,quantity
⭐ FREE RoOFTOP P00L+GyM⭐ ❤️MoDeRn & WaRm STUDIO❤️ ,3 guests · Studio · 2 beds · 1 bath,13 ,"Entire apartment in Quận 4, TPHCM","Let's enjoy the fresh-air and enterprising life in the heart of HCMC. From a beautiful panoramix view, we will have a heavenly view. Regardless of the time of day the panoramas are spectacular: from the city’s evening lights, welcoming the dawn, the meandering afternoon Saigon River and the endless dramatic Saigon skies. A perfect combination of modern architecture & exquisite interior design, MILLENNIUM CONDO will deliver a high-end living environment-luxurious, private and timeless.The space★★★★★ SPECIAL STUDIO ★★★★★The facilities make our special✯  Bedrooms :  • With City view - Soft queen-sized bed •Wooden floor & rug• High quality pillows and blankets.✯  Personal hygiene tools :•  Towels - Brushes - Toothpaste - Makeup remover, ....✯  A  kitchen :   • Full facilities • FREE Tea & Coffee & Cakes &  Everything in the fridge.✯  Living Room : • Candles and flowers make you feel relaxed.✯ Total private space inside the apartment approximately 40m2✯ The apartment is more spacious and comfortable than the surrounding aparment.✯  FREE  Infinity Pool and Gym on the 7th floor.A Prime CBD Location - MILLENNIUM is located in the heart of Ho Chi Minh City, next to the Financial District and so called ""Wall Street of Vietnam”. MILLENNIUM is located in District 4 which is just across through a short bridge to come District 1. Therefore you can reach to working place and many famous spots in the city centre such as Nguyen Hue Street where is a broad walking promenade in the middle District 1. At the other end of the promenade you find the Saigon River from where you can enjoy a nice view with a breeze. Walking from one end of the street to the other takes you around ten minutes and you will find some nice bars and restaurants along the way. From Nguyen Hue street other sightseeing places are easily reached, you find the Saigon Opera House and Dong Khoi shopping street only 100 metres away. Besides this, Notre Dame Cathedral and the Reunification Palace are only a five minute walk. In the surrounding area you also have a wide variety of restaurants and bars to spend your time. Therefore it is an ideal location to do some sightseeing and relax afterwards.★★★ You can easily move to Pham Ngu Lao and Bui Vien Street where is the main street of the so called ‘backpackers area’ of Ho Chi Minh City. Here you find a wide variety of inexpensive restaurants, bars, souvenir shops, etc. While being seated at one of the places you can soak up the local lifestyle and culture. You can shop, dine, party or simply to find some bars that offer drinks with a view of the busy city life - nightlife on Bui Vien Street.★★★ My luxury apartment is very lovely. brilliant with amazing view, romantic and cozy in each of bedroom's space. It is suitable for two couples or the family of 2 with 1 babies to stay both short-term and long-term. You will feel like your home with a fully luxurious furnished such as air-conditions, smart televisions, iron, washing machine, refrigrator, eating table, kitchen room with fully amenities for eating and cooking. ★★★ Enjoy FREE Series:• Big Gym Room for healthy lifestyle• Infinity & Saltwater Pool (unique in District 4 in Saigon)• Wifi• Free Mineral Water⭐ ⭐ ⭐ ⭐ ⭐THIS IS THE BEST OPTION FOR YOUR FAMILY AS WELL AS YOUR FRIENDSI PROMISE THAT YOU WILL FEEL COMFORTABLE AND CONVENIENT WHEN YOU STAY AT MY ACCOMMODATION IN VIETNAM.Guest accessGuest accessGuest will have 24/7 self-access to apartment. There are many utilities in the building and those are FREE of CHARGE:* Wifi and air-conditioning in lobby* Gym and Pool (In 7th floor)* BBQ area in outside* Children playgroundNOTE: there will be times when the utilities will be TEMPORARILY STOP WORKING because of Covid-19. If you have needs, please message me to confirmOther things to note1. Our check in/check out time is 14:00/12:00 (noon), please let me know exactly your check in and check out time so I can arrange if you need to check in early or check out late.2. Please leave the cards on the table of the room when you check out. 3. Please close the windows and make sure the stove is not cooking before leaving.4. If you need to empty your garbage, please bring it to the Trash Room outside the hall.5. You can only smoke in the balcony area of the apartment.Thank you for your understanding !","['https://a0.muscache.com/im/pictures/1e58e656-5c02-4a9b-90e4-2d2ffba94578.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/b0bee4e8-7e61-4d94-9f15-6d7851114750.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/3179a0a4-6c3d-4ea9-b871-9082406e10f6.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c284a102-ed1a-4772-b232-98dc6478c88a.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/334febc0-36ab-450f-98ce-f337c5bc402f.jpg?im_w=720']","['Small', 'Medium', 'Large']",5
Hidden Gem of Bare Chic @perfect for COUPLE in D1 ,2 guests · Studio · 0 beds · 1 private bath,24 ,"Private room in Quận 1, TPHCM","Just a leisurely walk from downtown Saigon, Bare Chic - Bare Boutique Stays lies amid a quaint residential neighborhood surrounded by a sleepy canal and the verdant Saigon Zoo. Though based in an enduring heritage building, the apartment is outfitted  with modern amenities and elements of contemporary design. A cool, calming color scheme with simple lines makes the space ideal for unwinding after a busy day out and aboutThe spaceYou notice the Louis-aged wooden chair staring across its fashionable plastique version, renovated and renamed Ghost by the renowned Phillippe Starck. Maybe this is an intentional set-up for the past and presence to have an intimate conversation. The contrast between walnut lumber wood and colorful lacquer wardrobes. Everything dexterously placed on a graceful cement floor sprinkled with apricot-blossom patterns.","['https://a0.muscache.com/im/pictures/32e6d9be-6fe6-4498-a229-8a34fab13b86.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/e3fe532b-1f14-46f7-9e77-21165bbfc238.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/f5ab458e-0e5b-42b8-a4c0-0d4f4119e52c.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/1bccfc7f-fb1a-4664-8a5a-970057d21245.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-46224855/original/23a81bd6-276b-4ba2-9107-3ce0c3efb657.jpeg?im_w=720']","['Small', 'Medium']",2
Glowing Private Room near Ben Thanh Market *BT303 ,2 guests · 1 bedroom · 1 bed · 1 bath,16 ,"Entire apartment in Quận 1, TPHCM","- An apartment in HoLo Ben Thanh Saigon - a member of HoLo Fairy Houses HomeStay Chain - - LARGER GROUP can book other rooms to stay here together.- Close proximity to Ben Thanh Market, Pham Ngu Lao & Bui Vien Area- Newly & modern style designed room- Private bathroom- No Smoking- Pet are not allowed- Deposit & Utility Bills for long-stay to be informed at the time of inquiryOther things to note- No Smoking- Pet are not allowed- Utility Bills for long-stay to be informed at the time of inquiry","['https://a0.muscache.com/im/pictures/miso/Hosting-27102203/original/ce125c31-7bbe-4243-ac68-cc97f17bae33.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-27102203/original/de06f54c-9d92-4c3b-a212-3e6ebb7c1d85.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-27102203/original/bbd69d69-fc28-4b2f-bfc3-9018d59221af.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-27102203/original/fd0ef8e0-5ad4-416c-b306-0f492c2b34c6.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-27102203/original/296079a9-875b-41ae-9a5e-1e2fe917ee6a.jpeg?im_w=720']","['Small', 'Medium']",2
"T&D5, PANAROMIC VIEWS, COZY, COMFORTABLE,QUITE ",2 guests · 1 bedroom · 1 bed · 1 bath,12 ,"Entire townhouse in Quận 1, TPHCM","✨BEST LOCATION IN CENTER✨ ART-DECOR & LIGHTFUL ROOM✨FREE Wifi ✨ FREE DRINKING WATER ✨FREE TO USE GENERAL ESSENTIALS: Washing machine, steam iron, microwave, refrigerator, hairdryer, cooker, first aid kit, socket,...A modern elegant studio with urban contemporary design in a local alleyway that promises to leave all your daily worries behind and take you to go on a pleasant experience upon first steps.The space## Perfect Location Our apartment is located in the heart of city and just take you a few mins to walk to all famous attractions (Ben Thanh Market, Bui Vien Walking Street, Fan Wu Lao Street, Nguyen Hue Boulevard, Dragon Wharf, Municipal Theater, Ho Chi Minh President Statue…). To be surrounded well-known local bistro and restaurants and especially famous night food street, we are confident to say there is no place better than ours for you to discover and enjoy a local culinary culture. The apartment is designed with a sense of elegance, luxury and high-class.It is promised to give you the feeling of staying in a home far away from home and, will be a fantastic poetic shelter for couple or young family to hide from this bustling city.Guest accessFeel free to use kitchen, living room & laundry room with full furnitured: first aid kit, hair dryer, washing machine, steam iron, kitchen tools,..","['https://a0.muscache.com/im/pictures/miso/Hosting-39655954/original/12817cae-5fd8-4820-8711-291f6b297c3c.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/d99fa6d5-8d11-478e-bd03-8476d8b8dc06.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-39655954/original/ac2b8f57-e07c-4942-8ac9-d85fdfd4f51d.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-39655954/original/41807182-3cb6-40ca-abfc-856c1dd54f8d.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-39655954/original/34f2c94d-fe16-40fe-a21e-032b5ef27fa6.jpeg?im_w=720']","['Small', 'Medium']",2
Studio Aparment-Clean-Quiet-Full Natural Light ,2 guests · 1 bedroom · 1 bed · 1 bath,18 ,"Entire serviced apartment in Quận 1, TPHCM","Welcome to Saigon Paramount right at the heart of Ho Chi Minh City!– 1.5km to Notre Dame Cathedral– 3 km away from Ben Thanh Market – 4 km from Bui Vien Walk Street. –  2 km to the Independence Place– 4 km to the Landmark 81 – 0.3 km to Tan Dinh Market. – Convenient to move to districts 2, 3, 4, 5, Phu Nhuan, Binh Thanh, Tan Binh... – A lot of shopping malls, Vietnamese restaurants, stylish coffee shops & bars etc. nearby.The space- Suitable for those who want a private and quiet space- Studio from 30 to 34 sqm- Queen size bed- Room with window with full sun light- Strong and comfortable wifi for you to work throughout the day without worrying anything- Spacious kitchen (including microwave, refrigerator, and all essential utensils for your cooking)- The private bathroom is clean and comfortable. Solar cold hot water system. Standing Bathrooms with glass wall and shower. Shampoo, towel, body wash, hair dryer are supplied for free- Mototbike parking free- Elevator- Safe- Wardrobe, Iron, TV cable 42 inchGuest accessThere are two gates to access1) 62/12 Thach Thi Thanh, Tan Dinh ward, District 1, Ho Chi Minh City. it use before 11:00 pm (midnight)2) 74/12A Thach Thi Thanh, Tan Dinh ward, District 1, Ho Chi Minh City. it use after 11:00 pm (midnight). Please Press bell at right door to call staffNOTE: MORE DISCOUNT FOR LONG TERM RENTING!!!","['https://a0.muscache.com/im/pictures/35ba3e22-1e07-44c3-b75d-807fc116c059.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/92b27f9e-8091-4ad5-be43-fa3ea22b1edf.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d7b1484a-9697-44c4-8042-0c38bddc862d.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/9a578eb6-b54d-40ef-8f6d-cee4aedfba68.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/2bdbafb3-7102-413c-9e85-442e138883a3.jpg?im_w=720']","['Small', 'Medium']",4
Quận 1 Hẻm Lý Tự Trọng ⭐Ban Công+Bếp riêng 3 ,2 guests · Studio · 1 bed · 1 bath,12 ,"Entire townhouse in Quận 1, TPHCM","•	Sterilization is done after every guest #anticovid19•       Safer than staying at a hotel. Perfect for social-distancing. •       Self check-in: receive a code and check in, no neet to meet anyone!•	At ❤️ of the city - BenThanh Market and Museums few mins walk away. •	High-Speed wifi•	Hair dryer, iron available•	Standard studio•	Easy self-check-in even if you arrive late•	No curfew•	Free motorcycle parking•	Cozy, quiet, safe neighborhoodThe space•	Modern, central but peaceful and quiet. High speed Wifi for your work•	Ideal for solo travelers, couples, business travellers.  •	Cozy place for you to rest and relax. •	Everything you need for a comfortable stay. •       Your Private Balcony for smoking and chillingGuest access24/7 access with key cards.The apartment is all yours to use. Please make yourself at home.Other things to noteI want you!!!!! Make the booking now and let's make your travel planning a lot less stressful :)And please treat my house as yours. If any problem arise, I will try my best to take action asap :)Important Note: Due to the Corona Virus outbreak, to keep my other guests safe, I will not be able to host any bookings with guests coming from Hubei (China); Daegu and Gyeongsang (Korea). Flight tickets and passport are required by local police’s regulation upon your booking. If you cannot provide such information, I won’t be able to legally host you. Therefore, if you are from those mentioned area within the last 14 days, please look for a professional hotel where there’re enough resources to take care for you.  ","['https://a0.muscache.com/im/pictures/d78ec9ba-f66b-47c3-8cc4-054d734f7f58.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/41e8f1fd-b101-497e-8338-4303ddf8d082.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/ddadc603-f39b-415f-ba97-6054cb57ac02.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/7ba1d89f-808d-4879-9579-ee0054696320.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/9347e30e-f848-4391-8918-fbc0ad1d0e04.jpg?im_w=720']","['Small', 'Medium']",3
"P""m""P/No.5: Rooftop secret house * city central ",2 guests · 1 bedroom · 1 bed · 1 bath,28 ,"Entire loft in Nguyễn Cư Trinh, TPHCM","This loft is on rooftop of the old colonial building . The design of its is inspired by the Hoi An ancient town . We want to bring the Vietnamese ancient soul into Sai Gon which is known as the most dynamic and modern city in Viet Nam . The place has a spectacular view , you can have some peace here after a day long to explore and enjoy the city . It's on a quiet alley and super close to all the insanity of backpacker area, but far enough away that you don't stay up all night from the noise.The space-This place is on the alley that just takes you 1 minute walking to the main street (150 meters) - This loft is on rooftop of the colonial house.-This cozy loft provided all you need that makes you feel like at home . - The kitchen that is fully stocked with coffee, tea, and kitchen appliances that you can easy to prepare for your own meal.- the queen size bed with a comfortable mattress. - this rooftop house also has a space outside which you can have some fresh air and a spectacular view . - it just takes you some steps into the Bui Vien - Pham Ngu Lao street ( 5mins walking ) where is crazy, crowded , and famous for backpackers.Guest accessAll equipment and facilities are provided for your usage and the apartment's keys upon arrival for 24/24h access.Other things to noteThis house is in the small alley that take you 1 minute to get to the main street ( 150meters)","['https://a0.muscache.com/im/pictures/fb76d1ce-6c78-498c-9714-d91d320ef650.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/14edb3c1-27c9-4483-beda-5ab6d09e5618.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/baeac31d-829d-4ae4-81bb-a5025a446bd4.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c25025fa-a730-467a-91fc-3704240b1181.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/ad4535fb-a085-4d82-9a2f-8b2c2ae6ef4d.jpg?im_w=720']","['Small', 'Medium']",5
Royal Blue [8] —  Retro vibe on famous Pasteur St ,3 guests · Studio · 1 bed · 1 bath,23 ,"Entire apartment in Quận 1, TPHCM","The past comes to life in this stylish, fully-equipped suite. But the modern guest will find all they need blending seamlessly with the old books, retro tech, and nostalgic design aesthetic. The deceptively spacious layout includes a massive window and a large balcony complete with awning perfect for late night drinks with a friend or two. This careful blend of classic and new is reflective of the vibrant city of Saigon itself.The spaceI've lived in HCMC for 28 years, and this is by far my most favourite apartment. Partly it's the location which allows you to get to most of the tourist attractions and scrumptious dining places in just minutes of walking.Moreover, the French colonial building and interior furniture may bring you back in time for a never-sleep dynamic Saigon city as of ‘the Pearl of the Far East’.- Stay in my apartment that is on the 3rd floor, in a quiet clean neighborhood.- Visit the Secret Garden Restaurant (4th Floor) for 10% discount off your bill.[ traditional Vietnamese home-cooked ]- The apartment can comfortably accommodate 2 adults but can be up to 3 if using the sofa.- Queen size bed with comfortable mattress. ( 4 pillows)- An Android TV 50 inches with a nice speaker system brings you good ambience for films or to relax by music at night. Chromecast and Apple TV are available for your use.- The kitchen is fully stocked with coffee, tea and kitchen appliances to allow for home cooked meals with dishes, plates, knives , forks..Guest accessTransportation to my place:- Taxi: from Tan Son Nhat International Airport, you take a taxi to 158 Pasteur Street (downtown district 1, HCM City) . The alley that leads to my place is full of boutique coffee shops and restaurants. Take your time to enjoy some essences of the city.- Bus: if you consider using public buses, proceed to Bus 109 and arrive at Ben Thanh Station then it’s about 5 minutes walking to my place.All equipment and facilities are provided for your usage.Other things to note- My staff or I will pick you from outside of the building to welcome you to the apartment. ( we also help you carry on your bags up to the house )","['https://a0.muscache.com/im/pictures/789af933-c440-4d1c-9ca0-cfe71fe221ba.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/de5b8789-83ee-425b-a821-93f23d281b0f.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/febbe11e-c6ea-45da-81a5-ef238bdc38a6.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/17fcdc44-a236-4007-aeec-97634a4ba959.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d4585195-3968-4e40-a7bc-c5d92879bf37.jpg?im_w=720']","['Small', 'Medium', 'Large']",2
BenThanh 3 minutes walk - Private studio+Balcony2 ,2 guests · Studio · 1 bed · 1 bath,15 ,"Entire house in Quận 1, TPHCM","•	Sterilization is done after every guest #anticovid19•       Safer than staying at a hotel. Perfect for social-distancing. •       Self check-in: receive a code and check in, no neet to meet anyone!•     Best location for 1st time visitor.•     3 minute walk to Ben Thanh market•     Full size studio with kitchen•     Private Balcony view to quiet street•     Local shops and restaurants at the door stepThe space- Queen Bed ensures you a good night sleep- Spacious studio, high ceiling- Private Balcony for smoking- Big window for natural light- No parking spaceImportant Note: Due to the Corona Virus outbreak, to keep my other guests safe, I will not be able to host any bookings with guests coming from Hubei (China); Daegu and Gyeongsang (Korea). Flight tickets and passport are required by local police’s regulation upon your booking. If you cannot provide such information, I won’t be able to legally host you. Therefore, if you are from those mentioned area within the last 14 days, please look for a professional hotel where there’re enough resources to take care for you.  Guest accessThe common area, and your roomOther things to notePlease treat my house as yours, keep it in good shape. If any problem arise, I will try my best to take action asap :)Extra cleaning during your stay is subjected to a fee of 5USD. Stay of 7 days or more will be offered a free cleaning turnover","['https://a0.muscache.com/im/pictures/d13259ec-bf41-406b-9330-1a7b27e23168.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/76f4b9a5-8ed7-4edc-848f-93cff3e3c5b4.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/6329fdbd-42d3-41cd-956e-d2aefec4fb9c.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/83d19eae-218a-444b-bd8f-035bfbb5b611.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c922005a-9da5-4b82-82cf-982871358bb3.jpg?im_w=720']","['Small', 'Medium']",3
Oakwood Style Studio @Experience Locals Lifestyle ,2 guests · Studio · 0 beds · 1 bath,20 ,"Entire apartment in Ho Chi Minh, TPHCM","Oakwood Studio is a low-key, minimalist, yet super comfortable apartment.The furniture is carefully designed with a cozy oakwood shade that glows under the elegantly yellow light. Its mission is to bring about peace, tranquility, and quietude. Nothing here is out of place. Fine lines and elegant colors bring about a balanced look; redundant details are completely removed to rest any weary soul.The spaceReady to crash after a day of exploration?  Kick back on the homy apartment, dim the lights, and enjoy a big-screen experience on the projector screen. Hook up the projector to the apartment computer and watch your own movies, or spend your downtime playing music and browsing the net.You'll find plenty of places to eat out in the area, but if you're in the mood for some home cooking, you can whip up dinner in the fully-equipped kitchen. Cool off at the end of the day with a soak in a full bathroom with a rain head shower. When eyes feel heavy, wander up to the apartment’s cozy loft area and sink into your comfy queen-size bed.In this space, you will personally feel being put in the center of attention, without any superficial distractions, and you will enjoy the journey towards mindfulness and joy. And Bare is here to serve you, and to bring you this private and profound experience.Guest accessYou'll have the entire apartment to yourself during your stay.Other things to noteWe want all of our guests to feel at home the moment they walk in the door. We gladly provide light refreshments, like drinks or noodles, to help you feel refreshed upon arrival. Please feel free to note any preferences in your inquiry.","['https://a0.muscache.com/im/pictures/432b3d40-947f-4a9f-88b5-960f95a3134c.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/8fbfabfc-6d83-48d0-941a-5a71d4790548.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/559823f0-60ac-4cda-8080-3b7a9a5b9fbb.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/34fccd27-1473-4e36-8948-90d38b822f3e.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/facaae10-c76e-4d0b-af21-0d5b5eb25209.jpg?im_w=720']","['Small', 'Medium']",4
